,no2_aemv,no2_wemv,ox_aemv,ox_wemv,temperature,humidity,pressure,pm_10,pm_2_5,pm_1_0,co,o3_ppb,no2_ppb,no2pluso3_ppb,co_μg/m3
2022-06-17 01:00:00,228.0,231.0,233.0,235.0,22.250278,82.48298,1013.7926950000001,70.0,42.0,17.5,442.5,-61.213337913857515,61.64383561643836,1.3054493923648387,511.75641081810124
2022-06-17 02:00:00,228.0,231.0,233.0,234.0,21.540556,87.89144,1013.6427,70.0,42.0,17.0,354.0,-58.770988104951265,61.64383561643836,1.1980933568085206,409.46511656102257
2022-06-17 03:00:00,229.0,232.0,233.0,235.0,21.26014,91.14395,1013.636,67.0,41.0,17.0,379.0,-58.770988104951265,61.64383561643836,2.8728475114870946,439.7406605932413
2022-06-17 04:00:00,230.0,234.0,235.0,235.0,21.743889,87.03659,1013.7373,80.0,49.0,21.0,709.0,-71.1791986945506,65.06849315068493,-6.110705543865677,821.0280792624977
2022-06-17 05:00:00,231.0,232.5,236.0,235.0,22.765279,88.336995,1013.9108000000001,102.5,61.0,24.5,540.0,-62.324472881865425,58.21917808219178,-9.097350453042477,623.4345923121487
2022-06-17 06:00:00,231.0,231.0,235.0,234.0,23.790554,84.11862,1013.98425,114.0,69.0,28.0,592.0,-57.9099926997896,51.369863013698634,-6.540129686090964,680.412848348379
2022-06-17 07:00:00,231.0,229.0,236.0,234.5,24.99764,74.0774475,1013.752375,83.0,50.0,20.5,535.0,-47.01764933224547,44.52054794520548,-4.7172242023446564,612.3092844350101
2022-06-17 08:00:00,231.0,225.0,234.0,235.0,26.234444,64.25784,1013.43097,34.0,21.0,9.0,397.0,-25.83200927556148,37.67123287671233,8.489715291793704,452.2292792974871
2022-06-17 09:00:00,229.0,226.5,233.0,237.5,26.8293075,58.13923,1013.091675,40.5,25.0,10.5,378.5,-22.683256752694646,42.8082191780822,18.740069566711036,430.7592115383353
2022-06-17 10:00:00,228.0,229.0,231.0,243.0,26.86167,62.294785,1012.8771,53.0,33.0,14.0,424.0,-27.058015201614637,54.79452054794521,37.14948254390862,481.7063379112367
2022-06-17 11:00:00,228.0,230.5,231.0,243.5,27.150417500000003,62.6031895,1012.67085,51.0,31.5,13.5,439.0,-23.24258169794306,63.35616438356165,44.15768454502512,498.76643944468117
2022-06-17 12:00:00,228.0,231.0,232.0,245.0,27.673058,64.57774,1012.0765,36.0,23.0,10.0,382.0,-19.97895821703097,58.21917808219178,39.76467557006055,433.1817120992136
