,co_μg/m3 (Kastom),NO2_ppb (Kastom)
2022-07-10 11:00:00,238.4786185642162,27.39726027397261
2022-07-10 12:00:00,214.0669921098224,27.39726027397261
2022-07-10 13:00:00,182.48333573327292,24.657534246575345
2022-07-10 14:00:00,284.12629803468207,31.506849315068493
2022-07-10 15:00:00,198.92927644801932,26.71232876712329
2022-07-10 16:00:00,414.37045003244447,58.9041095890411
2022-07-10 17:00:00,195.8015941638446,21.917808219178085
2022-07-10 18:00:00,261.3187012925567,28.082191780821915
2022-07-10 19:00:00,289.33452107244364,51.36986301369864
2022-07-10 20:00:00,273.4136925758707,54.79452054794521
2022-07-10 21:00:00,270.6324476289984,54.79452054794521
2022-07-10 22:00:00,270.6526492386523,58.21917808219178
2022-07-10 23:00:00,274.75178724254016,58.21917808219178
2022-07-11 00:00:00,256.99779733386185,58.21917808219178
2022-07-11 01:00:00,199.1888560914626,51.36986301369864
2022-07-11 02:00:00,211.90905950246503,51.36986301369864
2022-07-11 03:00:00,203.5655340408032,54.79452054794521
2022-07-11 04:00:00,219.52263208030996,54.79452054794521
2022-07-11 05:00:00,262.7859428060929,51.36986301369864
2022-07-11 06:00:00,202.8109539220656,47.945205479452056
2022-07-11 07:00:00,219.10917571479752,41.09589041095891
2022-07-11 08:00:00,170.9667272871249,30.82191780821918
2022-07-11 09:00:00,156.9319372767842,30.82191780821918
2022-07-11 10:00:00,108.9737293832837,30.82191780821918
2022-07-11 11:00:00,111.0843624675727,12.328767123287673
2022-07-11 12:00:00,194.25463158404057,14.383561643835618
2022-07-11 13:00:00,224.699371198691,19.17808219178082
2022-07-11 14:00:00,175.31608173697092,19.17808219178082
2022-07-11 15:00:00,270.3313527061513,22.6027397260274
2022-07-11 16:00:00,241.451792566282,26.02739726027397
2022-07-11 17:00:00,233.21793322195757,26.02739726027397
2022-07-11 18:00:00,303.48844531689537,51.36986301369864
2022-07-11 19:00:00,328.13817525866875,58.21917808219178
2022-07-11 20:00:00,310.2559746895859,54.79452054794521
2022-07-11 21:00:00,279.665059679367,54.79452054794521
2022-07-11 22:00:00,256.8688774131772,51.36986301369864
2022-07-11 23:00:00,254.02568922900213,53.08219178082192
2022-07-12 00:00:00,232.00655244080215,51.36986301369864
2022-07-12 01:00:00,205.9228153958899,47.945205479452056
2022-07-12 02:00:00,200.33145826586912,47.945205479452056
2022-07-12 03:00:00,202.33775121779945,51.36986301369864
2022-07-12 04:00:00,211.8935692709504,51.36986301369864
2022-07-12 05:00:00,202.3713830622184,44.52054794520548
2022-07-12 06:00:00,182.46111786289464,44.52054794520548
2022-07-12 07:00:00,173.8303999250075,37.67123287671233
2022-07-12 08:00:00,158.6433883898752,34.24657534246575
2022-07-12 09:00:00,119.14235431634532,30.82191780821918
2022-07-12 10:00:00,110.59745305565498,27.39726027397261
2022-07-12 11:00:00,183.5409660619277,44.52054794520548
2022-07-12 12:00:00,162.28635719567134,17.808219178082194
2022-07-12 13:00:00,279.0182733040621,28.082191780821915
2022-07-12 14:00:00,220.7648507887696,22.6027397260274
2022-07-12 15:00:00,207.1517372090005,20.890410958904116
2022-07-12 16:00:00,190.6234985701913,17.123287671232877
2022-07-12 17:00:00,241.02587700872044,26.02739726027397
2022-07-12 18:00:00,279.3676574445393,51.36986301369864
2022-07-12 19:00:00,301.7471683258316,54.79452054794521
2022-07-12 20:00:00,282.4474780154358,54.79452054794521
2022-07-12 21:00:00,250.10372998246012,51.36986301369864
2022-07-12 22:00:00,256.90001585109644,54.79452054794521
2022-07-12 23:00:00,216.80150490055377,47.945205479452056
2022-07-13 00:00:00,225.602212188917,51.36986301369864
2022-07-13 01:00:00,188.61352257915505,47.945205479452056
2022-07-13 02:00:00,182.92600932416576,49.65753424657535
2022-07-13 03:00:00,203.8527371175892,54.79452054794521
2022-07-13 04:00:00,225.38970400658224,54.79452054794521
